0, 0.175
1, 0.441
2, 0.434
3, 0.441
4, 0.525
5, 0.329
6, -0.042
7, -0.315
8, -0.574
9, -0.825
10, -1.056
11, -1.266
12, -1.504
13, -1.707
14, -1.945
15, -2.098
16, -2.280
17, -2.441
18, -2.539
19, -2.658
20, -2.854
21, -3.036
22, -3.162
22, -3.358
21, -3.792
20, -3.834
19, -3.841
18, -3.953
17, -3.582
16, -3.316
15, -3.106
14, -2.910
13, -2.651
12, -2.483
11, -2.301
10, -2.049
9, -1.952
8, -1.672
7, -1.532
6, -1.364
5, -1.126
4, -0.944
3, -0.706
2, -0.588
1, -0.182
0, 0.133
-1, 0.350
-2, 0.490
-3, 0.553
-4, 0.853
-5, 1.056
-6, 1.322
-7, 1.553
-8, 1.903
-9, 2.161
-10, 2.378
-11, 2.637
-12, 2.903
-13, 3.141
-14, 3.344
-15, 3.582
-16, 3.883
-17, 4.141
-18, 4.218
-19, 4.477
-20, 4.764
-21, 4.975
-22, 5.149
-22, 5.416
-21, 5.675
-20, 5.710
-19, 5.744
-18, 5.682
-17, 5.443
-16, 5.240
-15, 5.086
-14, 4.911
-13, 4.666
-12, 4.393
-11, 4.197
-10, 3.931
-9, 3.770
-8, 3.603
-7, 3.295
-6, 3.071
-5, 2.875
-4, 2.616
-3, 2.217
-2, 1.937
-1, 1.776
0, 1.504
0, 1.210
1, 0.979
2, 0.944
3, 0.720
4, 0.531
5, 0.266
6, -0.154
7, -0.406
8, -0.637
9, -0.902
10, -1.084
11, -1.210
12, -1.455
13, -1.644
14, -1.903
15, -2.154
16, -2.225
17, -2.351
18, -2.448
19, -2.553
20, -2.735
21, -2.973
22, -3.148
22, -3.379
21, -3.813
20, -3.799
19, -3.841
18, -3.820
17, -3.505
16, -3.295
15, -3.099
14, -2.896
13, -2.644
12, -2.434
11, -2.350
10, -2.196
9, -1.966
8, -1.651
7, -1.441
6, -1.308
5, -1.007
4, -0.839
3, -0.602
2, -0.455
1, -0.231
0, -0.035
-1, 0.210
-2, 0.350
-3, 0.594
-4, 0.762
-5, 1.049
-6, 1.427
-7, 1.693
-8, 1.986
-9, 2.245
-10, 2.420
-11, 2.700
-12, 2.980
-13, 3.267
-14, 3.442
-15, 3.631
-16, 3.813
-17, 4.001
-18, 4.268
-19, 4.582
-20, 4.750
-21, 5.044
-22, 5.269
-22, 5.584
-21, 5.843
-20, 5.877
-19, 5.829
-18, 5.689
-17, 5.513
-16, 5.331
-15, 5.177
-14, 4.911
-13, 4.666
-12, 4.309
-11, 4.079
-10, 3.883
-9, 3.763
-8, 3.561
-7, 3.351
-6, 3.113
-5, 2.994
-4, 2.637
-3, 2.308
-2, 2.035
-1, 1.847
0, 1.560
0, 1.266
1, 1.014
2, 0.965
3, 0.720
4, 0.539
5, 0.224
6, -0.196
7, -0.532
8, -0.748
9, -0.895
10, -1.140
11, -1.287
12, -1.476
13, -1.630
14, -1.868
15, -2.196
16, -2.217
17, -2.294
18, -2.448
19, -2.588
20, -2.798
21, -3.015
22, -3.134
22, -3.267
21, -3.778
20, -3.806
19, -3.743
18, -3.603
17, -3.316
16, -3.162
15, -3.057
14, -2.847
13, -2.616
12, -2.448
11, -2.315
10, -2.119
9, -1.986
8, -1.672
7, -1.525
6, -1.301
5, -1.126
4, -0.888
3, -0.629
2, -0.462
1, -0.210
0, 0.028
-1, 0.259
-2, 0.476
-3, 0.734
-4, 0.860
-5, 1.091
-6, 1.231
-7, 1.455
-8, 1.917
-9, 2.210
-10, 2.469
-11, 2.644
-12, 2.987
-13, 3.225
-14, 3.386
-15, 3.533
-16, 3.778
-17, 4.072
-18, 4.261
-19, 4.491
-20, 4.722
-21, 5.009
-22, 5.212
-22, 5.457
-21, 5.759
-20, 5.773
-19, 5.724
-18, 5.661
-17, 5.471
-16, 5.303
-15, 5.079
-14, 4.869
-13, 4.610
-12, 4.365
-11, 4.141
-10, 3.945
-9, 3.658
-8, 3.490
-7, 3.309
-6, 3.134
-5, 2.931
-4, 2.679
-3, 2.315
-2, 2.070
-1, 1.832
0, 1.539
0, 1.238
1, 1.028
2, 0.972
3, 0.685
4, 0.503
5, 0.252
6, -0.189
7, -0.497
8, -0.567
9, -0.742
10, -1.077
11, -1.287
12, -1.455
13, -1.644
14, -1.938
15, -2.204
16, -2.309
17, -2.413
18, -2.470
19, -2.630
20, -2.756
21, -2.973
22, -3.134
22, -3.323
21, -3.904
20, -3.890
19, -3.806
18, -3.778
17, -3.561
16, -3.351
15, -3.183
14, -2.875
13, -2.616
12, -2.511
11, -2.329
10, -2.161
9, -2.028
8, -1.707
7, -1.532
6, -1.343
5, -1.119
4, -0.881
3, -0.609
2, -0.497
1, -0.266
0, -0.021
-1, 0.259
-2, 0.462
-3, 0.797
-4, 0.972
-5, 1.161
-6, 1.364
-7, 1.651
-8, 1.952
-9, 2.231
-10, 2.406
-11, 2.735
-12, 2.980
-13, 3.239
-14, 3.421
-15, 3.568
-16, 3.841
-17, 4.141
-18, 4.302
-19, 4.533
-20, 4.807
-21, 5.094
-22, 5.276
-22, 5.535
-21, 5.744
-20, 5.759
-19, 5.752
-18, 5.703
-17, 5.577
-16, 5.303
-15, 5.156
-14, 4.968
-13, 4.639
-12, 4.275
-11, 4.162
-10, 3.924
-9, 3.771
-8, 3.561
-7, 3.393
-6, 3.162
-5, 3.015
-4, 2.728
-3, 2.427
-2, 2.063
-1, 1.812
0, 1.469
0, 1.175
1, 0.979
2, 0.937
3, 0.713
4, 0.511
5, 0.210
6, -0.175
7, -0.413
8, -0.525
9, -0.811
10, -1.063
11, -1.217
12, -1.413
13, -1.658
14, -1.868
15, -2.210
16, -2.287
17, -2.350
18, -2.525
19, -2.707
20, -2.854
21, -2.994
22, -3.134
22, -3.344
21, -3.883
20, -3.862
19, -3.806
18, -3.834
17, -3.589
16, -3.372
15, -3.134
14, -2.875
13, -2.602
12, -2.504
11, -2.315
10, -2.133
9, -1.993
8, -1.734
7, -1.553
6, -1.343
5, -1.161
4, -1.028
3, -0.762
2, -0.559
1, -0.364
0, -0.133
-1, 0.154
-2, 0.406
-3, 0.616
-4, 0.784
-5, 1.182
-6, 1.385
-7, 1.602
-8, 1.903
-9, 2.092
-10, 2.308
-11, 2.567
-12, 2.910
-13, 3.232
-14, 3.386
-15, 3.582
-16, 3.855
-17, 4.128
-18, 4.324
-19, 4.547
-20, 4.807
-21, 4.988
-22, 5.220
-22, 5.514
-21, 5.668
-20, 5.689
-19, 5.703
-18, 5.640
-17, 5.493
-16, 5.339
-15, 5.129
-14, 4.947
-13, 4.709
-12, 4.394
-11, 4.170
-10, 3.988
-9, 3.764
-8, 3.554
-7, 3.323
-6, 3.141
-5, 2.973
-4, 2.721
-3, 2.385
-2, 2.119
-1, 1.812
0, 1.588
0, 1.336
1, 1.070
2, 0.937
3, 0.714
4, 0.532
5, 0.322
6, -0.168
7, -0.489
8, -0.650
9, -0.846
10, -1.000
11, -1.196
12, -1.427
13, -1.616
14, -1.867
15, -2.196
16, -2.287
17, -2.343
18, -2.476
19, -2.609
20, -2.777
21, -2.994
22, -3.120
22, -3.329
21, -3.868
20, -3.882
19, -3.819
18, -3.693
17, -3.434
16, -3.231
15, -3.085
14, -2.861
13, -2.665
12, -2.525
11, -2.266
10, -2.119
9, -1.986
8, -1.622
7, -1.427
6, -1.329
5, -1.119
4, -0.902
3, -0.650
2, -0.496
1, -0.272
0, -0.049
-1, 0.217
-2, 0.413
-3, 0.644
-4, 0.791
-5, 1.049
-6, 1.259
-7, 1.609
-8, 1.889
