axis,direction,current_servo,commanded_servo,delta_servo,response_lag_ms
pitch,down,10.00,0.00,-10.00,69
pitch,down,5.00,0.00,-5.00,30
pitch,up,-10.00,5.00,15.00,29
pitch,up,-5.00,10.00,15.00,96
pitch,down,5.00,-10.00,-15.00,29
pitch,down,10.00,-5.00,-15.00,29
pitch,up,-2.00,2.00,4.00,29
pitch,down,2.00,-2.00,-4.00,4294967295
pitch,up,0.00,22.00,22.00,109
pitch,up,0.00,20.00,20.00,110
pitch,up,0.00,15.00,15.00,113
pitch,up,0.00,10.00,10.00,111
pitch,up,0.00,5.00,5.00,97
pitch,down,0.00,-22.00,-22.00,112
pitch,down,0.00,-20.00,-20.00,97
pitch,down,0.00,-15.00,-15.00,83
pitch,down,0.00,-10.00,-10.00,84
pitch,down,0.00,-5.00,-5.00,84
pitch,up,-10.00,15.00,25.00,124
pitch,up,-15.00,10.00,25.00,110
pitch,down,10.00,-15.00,-25.00,29
pitch,down,15.00,-10.00,-25.00,113
pitch,up,-7.00,18.00,25.00,30
pitch,up,-18.00,7.00,25.00,124
pitch,down,7.00,-18.00,-25.00,30
pitch,down,18.00,-7.00,-25.00,29
axis,direction,current_servo,commanded_servo,delta_servo,response_lag_ms
pitch,up,0.00,2.00,2.00,37
pitch,up,0.00,4.00,4.00,42
pitch,up,0.00,6.00,6.00,30
pitch,up,0.00,8.00,8.00,29
pitch,up,0.00,10.00,10.00,29
pitch,up,0.00,12.00,12.00,29
pitch,up,0.00,14.00,14.00,30
pitch,up,0.00,16.00,16.00,30
pitch,up,0.00,18.00,18.00,29
pitch,up,0.00,20.00,20.00,29
pitch,down,0.00,-2.00,-2.00,30
pitch,down,0.00,-4.00,-4.00,44
pitch,down,0.00,-6.00,-6.00,29
pitch,down,0.00,-8.00,-8.00,29
pitch,down,0.00,-10.00,-10.00,29
pitch,down,0.00,-12.00,-12.00,30
pitch,down,0.00,-14.00,-14.00,17
pitch,down,0.00,-16.00,-16.00,17
pitch,down,0.00,-18.00,-18.00,16
pitch,down,0.00,-20.00,-20.00,17
pitch,up,5.00,7.00,2.00,17
pitch,up,5.00,9.00,4.00,16
pitch,up,5.00,11.00,6.00,16
pitch,up,5.00,13.00,8.00,17
pitch,up,5.00,15.00,10.00,17
pitch,up,5.00,17.00,12.00,17
pitch,up,5.00,19.00,14.00,17
pitch,up,5.00,21.00,16.00,17
pitch,down,5.00,3.00,-2.00,17
pitch,down,5.00,1.00,-4.00,17
pitch,down,5.00,-1.00,-6.00,16
pitch,down,5.00,-3.00,-8.00,17
pitch,down,5.00,-5.00,-10.00,17
pitch,down,5.00,-7.00,-12.00,17
pitch,down,5.00,-9.00,-14.00,16
pitch,down,5.00,-11.00,-16.00,17
pitch,down,5.00,-13.00,-18.00,17
pitch,down,5.00,-15.00,-20.00,16
pitch,up,10.00,12.00,2.00,18
