axis,direction,current_servo,commanded_servo,delta_servo,response_lag_ms
yaw,down,20.00,-15.00,-35.00,114.00
yaw,down,20.00,-10.00,-30.00,95.00
yaw,down,20.00,-5.00,-25.00,93.00
yaw,down,15.00,-20.00,-35.00,97.00
yaw,down,10.00,-22.00,-32.00,97.00
yaw,down,5.00,-20.00,-25.00,104.00
yaw,down,15.00,-10.00,-25.00,105.00
yaw,down,10.00,-5.00,-15.00,80.00
yaw,down,5.00,-15.00,-20.00,104.00
yaw,down,22.00,0.00,-22.00,65.00
yaw,down,20.00,0.00,-20.00,96.00
yaw,down,15.00,0.00,-15.00,70.00
yaw,down,10.00,0.00,-10.00,73.00
yaw,down,5.00,0.00,-5.00,70.00
yaw,up,-10.00,5.00,15.00,65.00
yaw,up,-5.00,10.00,15.00,67.00
yaw,down,5.00,-10.00,-15.00,65.00
yaw,down,10.00,-5.00,-15.00,85.00
yaw,up,-2.00,2.00,4.00,-1.00
yaw,down,2.00,-2.00,-4.00,64.00
yaw,up,0.00,22.00,22.00,88.00
yaw,up,0.00,20.00,20.00,80.00
yaw,up,0.00,15.00,15.00,69.00
yaw,up,0.00,10.00,10.00,67.00
yaw,up,0.00,5.00,5.00,84.00
yaw,down,0.00,-22.00,-22.00,111.00
yaw,down,0.00,-20.00,-20.00,94.00
yaw,down,0.00,-15.00,-15.00,94.00
yaw,down,0.00,-10.00,-10.00,85.00
yaw,down,0.00,-5.00,-5.00,70.00
yaw,up,-10.00,15.00,25.00,78.00
yaw,up,-15.00,10.00,25.00,82.00
yaw,down,10.00,-15.00,-25.00,64.00
yaw,down,15.00,-10.00,-25.00,99.00
yaw,up,-7.00,18.00,25.00,64.00
yaw,up,-18.00,7.00,25.00,99.00
yaw,down,7.00,-18.00,-25.00,65.00
yaw,down,18.00,-7.00,-25.00,64.00
