axis,direction,current_servo,commanded_servo,delta_servo,response_lag_ms
pitch,up,0.00,2.00,2.00,-1.00
pitch,up,0.00,4.00,4.00,-1.00
pitch,up,0.00,6.00,6.00,-1.00
pitch,up,0.00,8.00,8.00,-1.00
pitch,up,0.00,10.00,10.00,109.00
pitch,up,0.00,12.00,12.00,116.00
pitch,up,0.00,14.00,14.00,120.00
pitch,up,0.00,16.00,16.00,127.00
pitch,up,0.00,18.00,18.00,132.00
pitch,up,0.00,20.00,20.00,138.00
pitch,down,0.00,-2.00,-2.00,-1.00
pitch,down,0.00,-4.00,-4.00,-1.00
pitch,down,0.00,-6.00,-6.00,-1.00
pitch,down,0.00,-8.00,-8.00,-1.00
pitch,down,0.00,-10.00,-10.00,109.00
pitch,down,0.00,-12.00,-12.00,117.00
pitch,down,0.00,-14.00,-14.00,122.00
pitch,down,0.00,-16.00,-16.00,126.00
pitch,down,0.00,-18.00,-18.00,132.00
pitch,down,0.00,-20.00,-20.00,138.00
pitch,up,5.00,7.00,2.00,-1.00
pitch,up,5.00,9.00,4.00,-1.00
pitch,up,5.00,11.00,6.00,-1.00
pitch,up,5.00,13.00,8.00,-1.00
pitch,up,5.00,15.00,10.00,-1.00
pitch,up,5.00,17.00,12.00,-1.00
pitch,up,5.00,19.00,14.00,122.00
pitch,up,5.00,21.00,16.00,127.00
pitch,down,5.00,3.00,-2.00,88.00
pitch,down,5.00,1.00,-4.00,-1.00
pitch,down,5.00,-1.00,-6.00,-1.00
pitch,down,5.00,-3.00,-8.00,105.00
pitch,down,5.00,-5.00,-10.00,110.00
pitch,down,5.00,-7.00,-12.00,116.00
pitch,down,5.00,-9.00,-14.00,122.00
pitch,down,5.00,-11.00,-16.00,129.00
pitch,down,5.00,-13.00,-18.00,131.00
pitch,down,5.00,-15.00,-20.00,137.00
pitch,up,10.00,12.00,2.00,-1.00
pitch,up,10.00,14.00,4.00,-1.00
pitch,up,10.00,16.00,6.00,-1.00
pitch,up,10.00,18.00,8.00,-1.00
pitch,up,10.00,20.00,10.00,-1.00
pitch,up,10.00,22.00,12.00,-1.00
pitch,down,10.00,8.00,-2.00,88.00
pitch,down,10.00,6.00,-4.00,-1.00
pitch,down,10.00,4.00,-6.00,-1.00
pitch,down,10.00,2.00,-8.00,-1.00
pitch,down,10.00,0.00,-10.00,110.00
pitch,down,10.00,-2.00,-12.00,115.00
pitch,down,10.00,-4.00,-14.00,120.00
pitch,down,10.00,-6.00,-16.00,126.00
pitch,down,10.00,-8.00,-18.00,130.00
pitch,down,10.00,-10.00,-20.00,138.00
pitch,up,15.00,17.00,2.00,-1.00
pitch,up,15.00,19.00,4.00,-1.00
pitch,up,15.00,21.00,6.00,-1.00
pitch,down,15.00,13.00,-2.00,89.00
pitch,down,15.00,11.00,-4.00,-1.00
pitch,down,15.00,9.00,-6.00,-1.00
pitch,down,15.00,7.00,-8.00,-1.00
pitch,down,15.00,5.00,-10.00,-1.00
pitch,down,15.00,3.00,-12.00,115.00
pitch,down,15.00,1.00,-14.00,122.00
pitch,down,15.00,-1.00,-16.00,126.00
pitch,down,15.00,-3.00,-18.00,130.00
pitch,down,15.00,-5.00,-20.00,-1.00
pitch,up,-5.00,-3.00,2.00,-1.00
pitch,up,-5.00,-1.00,4.00,-1.00
pitch,up,-5.00,1.00,6.00,-1.00
pitch,up,-5.00,3.00,8.00,104.00
pitch,up,-5.00,5.00,10.00,-1.00
pitch,up,-5.00,7.00,12.00,117.00
pitch,up,-5.00,9.00,14.00,119.00
pitch,up,-5.00,11.00,16.00,126.00
pitch,up,-5.00,13.00,18.00,131.00
pitch,up,-5.00,15.00,20.00,138.00
pitch,down,-5.00,-7.00,-2.00,-1.00
pitch,down,-5.00,-9.00,-4.00,-1.00
pitch,down,-5.00,-11.00,-6.00,-1.00
pitch,down,-5.00,-13.00,-8.00,107.00
pitch,down,-5.00,-15.00,-10.00,111.00
pitch,down,-5.00,-17.00,-12.00,117.00
pitch,down,-5.00,-19.00,-14.00,120.00
pitch,down,-5.00,-21.00,-16.00,126.00
pitch,up,-10.00,-8.00,2.00,87.00
pitch,up,-10.00,-6.00,4.00,-1.00
pitch,up,-10.00,-4.00,6.00,-1.00
pitch,up,-10.00,-2.00,8.00,106.00
pitch,up,-10.00,0.00,10.00,109.00
pitch,up,-10.00,2.00,12.00,115.00
pitch,up,-10.00,4.00,14.00,121.00
pitch,up,-10.00,6.00,16.00,127.00
pitch,up,-10.00,8.00,18.00,131.00
pitch,up,-10.00,10.00,20.00,138.00
pitch,down,-10.00,-12.00,-2.00,87.00
pitch,down,-10.00,-14.00,-4.00,-1.00
pitch,down,-10.00,-16.00,-6.00,-1.00
pitch,down,-10.00,-18.00,-8.00,-1.00
pitch,down,-10.00,-20.00,-10.00,110.00
pitch,down,-10.00,-22.00,-12.00,117.00
pitch,up,-15.00,-13.00,2.00,-1.00
pitch,up,-15.00,-11.00,4.00,-1.00
pitch,up,-15.00,-9.00,6.00,-1.00
pitch,up,-15.00,-7.00,8.00,-1.00
pitch,up,-15.00,-5.00,10.00,-1.00
pitch,up,-15.00,-3.00,12.00,116.00
pitch,up,-15.00,-1.00,14.00,121.00
pitch,up,-15.00,1.00,16.00,127.00
pitch,up,-15.00,3.00,18.00,131.00
pitch,up,-15.00,5.00,20.00,137.00
pitch,down,-15.00,-17.00,-2.00,-1.00
pitch,down,-15.00,-19.00,-4.00,-1.00
pitch,down,-15.00,-21.00,-6.00,-1.00
pitch,up,-22.00,22.00,44.00,-1.00
pitch,up,-20.00,20.00,40.00,-1.00
pitch,up,-15.00,15.00,30.00,-1.00
pitch,up,-10.00,10.00,20.00,-1.00
pitch,up,-5.00,5.00,10.00,-1.00
pitch,up,-22.00,18.00,40.00,-1.00
pitch,up,-20.00,15.00,35.00,-1.00
pitch,up,-20.00,10.00,30.00,-1.00
pitch,up,-20.00,5.00,25.00,-1.00
pitch,up,-15.00,20.00,35.00,-1.00
pitch,up,-10.00,22.00,32.00,-1.00
pitch,up,-5.00,20.00,25.00,-1.00
pitch,up,-15.00,10.00,25.00,-1.00
pitch,up,-10.00,5.00,15.00,-1.00
pitch,up,-5.00,15.00,20.00,-1.00
pitch,up,-22.00,0.00,22.00,-1.00
pitch,up,-20.00,0.00,20.00,-1.00
pitch,up,-15.00,0.00,15.00,-1.00
pitch,up,-10.00,0.00,10.00,-1.00
pitch,up,-5.00,0.00,5.00,-1.00
pitch,down,22.00,-18.00,-40.00,-1.00
pitch,down,20.00,-15.00,-35.00,-1.00
pitch,down,20.00,-10.00,-30.00,-1.00
pitch,down,20.00,-5.00,-25.00,-1.00
pitch,down,15.00,-20.00,-35.00,-1.00
pitch,down,10.00,-22.00,-32.00,-1.00
pitch,down,5.00,-20.00,-25.00,-1.00
pitch,down,15.00,-10.00,-25.00,-1.00
pitch,down,10.00,-5.00,-15.00,-1.00
pitch,down,5.00,-15.00,-20.00,-1.00
pitch,down,22.00,0.00,-22.00,-1.00
pitch,down,20.00,0.00,-20.00,-1.00
pitch,down,15.00,0.00,-15.00,-1.00
pitch,down,10.00,0.00,-10.00,-1.00
pitch,down,5.00,0.00,-5.00,-1.00
pitch,up,-10.00,5.00,15.00,-1.00
pitch,up,-5.00,10.00,15.00,-1.00
pitch,down,5.00,-10.00,-15.00,-1.00
pitch,down,10.00,-5.00,-15.00,-1.00
pitch,up,-2.00,2.00,4.00,-1.00
pitch,down,2.00,-2.00,-4.00,-1.00
pitch,up,0.00,22.00,22.00,-1.00
pitch,up,0.00,20.00,20.00,-1.00
pitch,up,0.00,15.00,15.00,-1.00
pitch,up,0.00,10.00,10.00,-1.00
pitch,up,0.00,5.00,5.00,-1.00
