axis,direction,current_servo,commanded_servo,delta_servo,response_lag_ms
yaw,up,0.00,2.00,2.00,89.00
yaw,up,0.00,4.00,4.00,132.00
yaw,up,0.00,6.00,6.00,134.00
yaw,up,0.00,8.00,8.00,139.00
yaw,up,0.00,10.00,10.00,146.00
yaw,up,0.00,12.00,12.00,150.00
yaw,up,0.00,14.00,14.00,157.00
yaw,up,0.00,16.00,16.00,200.00
yaw,up,0.00,18.00,18.00,-1.00
yaw,up,0.00,20.00,20.00,173.00
yaw,down,0.00,-2.00,-2.00,-1.00
yaw,down,0.00,-4.00,-4.00,-1.00
yaw,down,0.00,-6.00,-6.00,-1.00
yaw,down,0.00,-8.00,-8.00,-1.00
yaw,down,0.00,-10.00,-10.00,-1.00
yaw,down,0.00,-12.00,-12.00,-1.00
yaw,down,0.00,-14.00,-14.00,-1.00
yaw,down,0.00,-16.00,-16.00,-1.00
yaw,down,0.00,-18.00,-18.00,-1.00
yaw,down,0.00,-20.00,-20.00,-1.00
yaw,up,5.00,7.00,2.00,123.00
yaw,up,5.00,9.00,4.00,130.00
yaw,up,5.00,11.00,6.00,134.00
yaw,up,5.00,13.00,8.00,143.00
yaw,up,5.00,15.00,10.00,147.00
yaw,up,5.00,17.00,12.00,-1.00
yaw,up,5.00,19.00,14.00,-1.00
yaw,up,5.00,21.00,16.00,272.00
yaw,down,5.00,3.00,-2.00,-1.00
yaw,down,5.00,1.00,-4.00,-1.00
yaw,down,5.00,-1.00,-6.00,-1.00
yaw,down,5.00,-3.00,-8.00,-1.00
yaw,down,5.00,-5.00,-10.00,-1.00
yaw,down,5.00,-7.00,-12.00,-1.00
yaw,down,5.00,-9.00,-14.00,-1.00
yaw,down,5.00,-11.00,-16.00,-1.00
yaw,down,5.00,-13.00,-18.00,-1.00
yaw,down,5.00,-15.00,-20.00,-1.00
yaw,up,10.00,12.00,2.00,127.00
yaw,up,10.00,14.00,4.00,-1.00
yaw,up,10.00,16.00,6.00,-1.00
yaw,up,10.00,18.00,8.00,-1.00
yaw,up,10.00,20.00,10.00,-1.00
yaw,up,10.00,22.00,12.00,-1.00
yaw,down,10.00,8.00,-2.00,-1.00
yaw,down,10.00,6.00,-4.00,-1.00
yaw,down,10.00,4.00,-6.00,-1.00
yaw,down,10.00,2.00,-8.00,-1.00
yaw,down,10.00,0.00,-10.00,-1.00
yaw,down,10.00,-2.00,-12.00,-1.00
yaw,down,10.00,-4.00,-14.00,-1.00
yaw,down,10.00,-6.00,-16.00,-1.00
yaw,down,10.00,-8.00,-18.00,-1.00
yaw,down,10.00,-10.00,-20.00,-1.00
yaw,up,15.00,17.00,2.00,-1.00
yaw,up,15.00,19.00,4.00,-1.00
yaw,up,15.00,21.00,6.00,-1.00
yaw,down,15.00,13.00,-2.00,-1.00
yaw,down,15.00,11.00,-4.00,-1.00
yaw,down,15.00,9.00,-6.00,-1.00
yaw,down,15.00,7.00,-8.00,-1.00
yaw,down,15.00,5.00,-10.00,-1.00
yaw,down,15.00,3.00,-12.00,-1.00
yaw,down,15.00,1.00,-14.00,-1.00
yaw,down,15.00,-1.00,-16.00,-1.00
yaw,down,15.00,-3.00,-18.00,-1.00
yaw,down,15.00,-5.00,-20.00,-1.00
yaw,up,-5.00,-3.00,2.00,123.00
yaw,up,-5.00,-1.00,4.00,564.00
yaw,up,-5.00,1.00,6.00,673.00
yaw,up,-5.00,3.00,8.00,140.00
yaw,up,-5.00,5.00,10.00,147.00
yaw,up,-5.00,7.00,12.00,151.00
yaw,up,-5.00,9.00,14.00,157.00
yaw,up,-5.00,11.00,16.00,163.00
yaw,up,-5.00,13.00,18.00,169.00
yaw,up,-5.00,15.00,20.00,174.00
yaw,down,-5.00,-7.00,-2.00,-1.00
yaw,down,-5.00,-9.00,-4.00,-1.00
yaw,down,-5.00,-11.00,-6.00,-1.00
yaw,down,-5.00,-13.00,-8.00,-1.00
yaw,down,-5.00,-15.00,-10.00,-1.00
yaw,down,-5.00,-17.00,-12.00,-1.00
yaw,down,-5.00,-19.00,-14.00,-1.00
yaw,down,-5.00,-21.00,-16.00,-1.00
yaw,up,-10.00,-8.00,2.00,-1.00
yaw,up,-10.00,-6.00,4.00,681.00
yaw,up,-10.00,-4.00,6.00,1041.00
yaw,up,-10.00,-2.00,8.00,142.00
yaw,up,-10.00,0.00,10.00,911.00
yaw,up,-10.00,2.00,12.00,151.00
yaw,up,-10.00,4.00,14.00,157.00
yaw,up,-10.00,6.00,16.00,164.00
yaw,up,-10.00,8.00,18.00,170.00
yaw,up,-10.00,10.00,20.00,212.00
yaw,down,-10.00,-12.00,-2.00,-1.00
yaw,down,-10.00,-14.00,-4.00,-1.00
yaw,down,-10.00,-16.00,-6.00,-1.00
yaw,down,-10.00,-18.00,-8.00,-1.00
yaw,down,-10.00,-20.00,-10.00,-1.00
yaw,down,-10.00,-22.00,-12.00,-1.00
yaw,up,-15.00,-13.00,2.00,-1.00
yaw,up,-15.00,-11.00,4.00,-1.00
yaw,up,-15.00,-9.00,6.00,-1.00
yaw,up,-15.00,-7.00,8.00,177.00
yaw,up,-15.00,-5.00,10.00,1017.00
yaw,up,-15.00,-3.00,12.00,188.00
yaw,up,-15.00,-1.00,14.00,158.00
yaw,up,-15.00,1.00,16.00,1317.00
yaw,up,-15.00,3.00,18.00,169.00
yaw,up,-15.00,5.00,20.00,174.00
yaw,down,-15.00,-17.00,-2.00,-1.00
yaw,down,-15.00,-19.00,-4.00,-1.00
yaw,down,-15.00,-21.00,-6.00,-1.00
