axis,direction,current_servo,commanded_servo,delta_servo,response_lag_ms
yaw,up,0.00,2.00,2.00,9
yaw,up,0.00,4.00,4.00,1319
yaw,up,0.00,6.00,6.00,29
yaw,up,0.00,8.00,8.00,729
yaw,up,0.00,10.00,10.00,29
yaw,up,0.00,12.00,12.00,124
yaw,up,0.00,14.00,14.00,28
yaw,up,0.00,16.00,16.00,140
yaw,up,0.00,18.00,18.00,29
yaw,up,0.00,20.00,20.00,152
yaw,down,0.00,-2.00,-2.00,29
yaw,down,0.00,-4.00,-4.00,4294967295
yaw,down,0.00,-6.00,-6.00,4294967295
yaw,down,0.00,-8.00,-8.00,4294967295
yaw,down,0.00,-10.00,-10.00,29
yaw,down,0.00,-12.00,-12.00,17
yaw,down,0.00,-14.00,-14.00,97
yaw,down,0.00,-16.00,-16.00,29
yaw,down,0.00,-18.00,-18.00,85
yaw,down,0.00,-20.00,-20.00,17
yaw,up,5.00,7.00,2.00,110
yaw,up,5.00,9.00,4.00,2096
yaw,up,5.00,11.00,6.00,30
yaw,up,5.00,13.00,8.00,4294967295
yaw,up,5.00,15.00,10.00,30
yaw,up,5.00,17.00,12.00,151
yaw,up,5.00,19.00,14.00,29
yaw,up,5.00,21.00,16.00,163
yaw,down,5.00,3.00,-2.00,30
yaw,down,5.00,1.00,-4.00,4294967295
yaw,down,5.00,-1.00,-6.00,4294967295
yaw,down,5.00,-3.00,-8.00,4294967295
yaw,down,5.00,-5.00,-10.00,29
yaw,down,5.00,-7.00,-12.00,15
yaw,down,5.00,-9.00,-14.00,83
yaw,down,5.00,-11.00,-16.00,17
yaw,down,5.00,-13.00,-18.00,84
yaw,down,5.00,-15.00,-20.00,30
yaw,up,10.00,12.00,2.00,4294967295
yaw,up,10.00,14.00,4.00,4294967295
yaw,up,10.00,16.00,6.00,4294967295
yaw,up,10.00,18.00,8.00,4294967295
yaw,up,10.00,20.00,10.00,4294967295
yaw,up,10.00,22.00,12.00,30
yaw,down,10.00,8.00,-2.00,4294967295
yaw,down,10.00,6.00,-4.00,4294967295
yaw,down,10.00,4.00,-6.00,4294967295
yaw,down,10.00,2.00,-8.00,4294967295
yaw,down,10.00,0.00,-10.00,30
yaw,down,10.00,-2.00,-12.00,83
yaw,down,10.00,-4.00,-14.00,15
yaw,down,10.00,-6.00,-16.00,73
yaw,down,10.00,-8.00,-18.00,17
yaw,down,10.00,-10.00,-20.00,97
yaw,up,15.00,17.00,2.00,4294967295
yaw,up,15.00,19.00,4.00,4294967295
yaw,up,15.00,21.00,6.00,4294967295
yaw,down,15.00,13.00,-2.00,30
yaw,down,15.00,11.00,-4.00,4294967295
yaw,down,15.00,9.00,-6.00,4294967295
yaw,down,15.00,7.00,-8.00,4294967295
yaw,down,15.00,5.00,-10.00,206
yaw,down,15.00,3.00,-12.00,29
yaw,down,15.00,1.00,-14.00,83
yaw,down,15.00,-1.00,-16.00,17
yaw,down,15.00,-3.00,-18.00,70
yaw,down,15.00,-5.00,-20.00,16
yaw,up,-5.00,-3.00,2.00,29
yaw,up,-5.00,-1.00,4.00,4294967295
yaw,up,-5.00,1.00,6.00,2074
yaw,up,-5.00,3.00,8.00,29
yaw,up,-5.00,5.00,10.00,656
yaw,up,-5.00,7.00,12.00,29
yaw,up,-5.00,9.00,14.00,569
yaw,up,-5.00,11.00,16.00,29
yaw,up,-5.00,13.00,18.00,138
yaw,up,-5.00,15.00,20.00,29
yaw,down,-5.00,-7.00,-2.00,4294967295
yaw,down,-5.00,-9.00,-4.00,4294967295
yaw,down,-5.00,-11.00,-6.00,4294967295
yaw,down,-5.00,-13.00,-8.00,4294967295
yaw,down,-5.00,-15.00,-10.00,29
yaw,down,-5.00,-17.00,-12.00,82
yaw,down,-5.00,-19.00,-14.00,17
yaw,down,-5.00,-21.00,-16.00,70
yaw,up,-10.00,-8.00,2.00,4294967295
yaw,up,-10.00,-6.00,4.00,4294967295
yaw,up,-10.00,-4.00,6.00,4294967295
yaw,up,-10.00,-2.00,8.00,29
yaw,up,-10.00,0.00,10.00,4294967295
yaw,up,-10.00,2.00,12.00,29
yaw,up,-10.00,4.00,14.00,558
yaw,up,-10.00,6.00,16.00,30
yaw,up,-10.00,8.00,18.00,678
yaw,up,-10.00,10.00,20.00,29
yaw,down,-10.00,-12.00,-2.00,4294967295
yaw,down,-10.00,-14.00,-4.00,4294967295
yaw,down,-10.00,-16.00,-6.00,4294967295
yaw,down,-10.00,-18.00,-8.00,4294967295
yaw,down,-10.00,-20.00,-10.00,4294967295
yaw,down,-10.00,-22.00,-12.00,30
yaw,up,-15.00,-13.00,2.00,29
yaw,up,-15.00,-11.00,4.00,4294967295
yaw,up,-15.00,-9.00,6.00,4294967295
yaw,up,-15.00,-7.00,8.00,4294967295
yaw,up,-15.00,-5.00,10.00,29
yaw,up,-15.00,-3.00,12.00,4294967295
yaw,up,-15.00,-1.00,14.00,29
yaw,up,-15.00,1.00,16.00,545
yaw,up,-15.00,3.00,18.00,30
yaw,up,-15.00,5.00,20.00,516
yaw,down,-15.00,-17.00,-2.00,29
yaw,down,-15.00,-19.00,-4.00,96
yaw,down,-15.00,-21.00,-6.00,4294967295
yaw,up,-22.00,22.00,44.00,29
yaw,up,-20.00,20.00,40.00,164
yaw,up,-15.00,15.00,30.00,152
yaw,up,-10.00,10.00,20.00,135
yaw,up,-5.00,5.00,10.00,150
yaw,up,-22.00,18.00,40.00,156
yaw,up,-20.00,15.00,35.00,138
yaw,up,-20.00,10.00,30.00,131
yaw,up,-20.00,5.00,25.00,154
yaw,up,-15.00,20.00,35.00,148
yaw,up,-10.00,22.00,32.00,147
yaw,up,-5.00,20.00,25.00,133
yaw,up,-15.00,10.00,25.00,165
yaw,up,-10.00,5.00,15.00,384
yaw,up,-5.00,15.00,20.00,139
yaw,up,-22.00,0.00,22.00,29
yaw,up,-20.00,0.00,20.00,464
yaw,up,-15.00,0.00,15.00,650
yaw,up,-10.00,0.00,10.00,732
yaw,up,-5.00,0.00,5.00,1949
yaw,down,22.00,-18.00,-40.00,29
yaw,down,20.00,-15.00,-35.00,106
yaw,down,20.00,-10.00,-30.00,97
yaw,down,20.00,-5.00,-25.00,97
yaw,down,15.00,-20.00,-35.00,124
yaw,down,10.00,-22.00,-32.00,97
yaw,down,5.00,-20.00,-25.00,111
yaw,down,15.00,-10.00,-25.00,29
yaw,down,10.00,-5.00,-15.00,70
yaw,down,5.00,-15.00,-20.00,85
yaw,down,22.00,0.00,-22.00,29
yaw,down,20.00,0.00,-20.00,84
yaw,down,15.00,0.00,-15.00,71
yaw,down,10.00,0.00,-10.00,58
yaw,down,5.00,0.00,-5.00,29
yaw,up,-10.00,5.00,15.00,30
yaw,up,-5.00,10.00,15.00,125
yaw,down,5.00,-10.00,-15.00,30
yaw,down,10.00,-5.00,-15.00,30
yaw,up,-2.00,2.00,4.00,30
yaw,down,2.00,-2.00,-4.00,4294967295
yaw,up,0.00,22.00,22.00,139
yaw,up,0.00,20.00,20.00,112
yaw,up,0.00,15.00,15.00,123
yaw,up,0.00,10.00,10.00,124
yaw,up,0.00,5.00,5.00,2137
yaw,down,0.00,-22.00,-22.00,111
yaw,down,0.00,-20.00,-20.00,84
yaw,down,0.00,-15.00,-15.00,84
