0, 0.035
1, 0.063
2, -0.007
3, 0.014
4, 0.245
5, 0.427
6, 0.532
7, 0.846
8, 1.028
9, 1.168
10, 1.511
11, 1.658
12, 1.861
13, 2.077
14, 2.280
15, 2.532
16, 2.749
17, 2.952
18, 3.162
19, 3.288
20, 3.638
21, 3.855
22, 4.169
22, 4.246
21, 4.561
20, 4.603
19, 4.582
18, 4.575
17, 4.582
16, 4.512
15, 4.547
14, 4.540
13, 4.477
12, 4.316
11, 4.071
10, 3.848
9, 3.672
8, 3.267
7, 2.987
6, 2.826
5, 2.539
4, 2.231
3, 2.077
2, 1.840
1, 1.420
0, 1.280
-1, 1.112
-2, 0.790
-3, 0.588
-4, 0.441
-5, 0.238
-6, 0.035
-7, -0.126
-8, -0.441
-9, -0.762
-10, -1.028
-11, -1.273
-12, -1.469
-13, -1.819
-14, -1.923
-15, -2.119
-16, -2.413
-17, -2.595
-18, -2.833
-19, -2.952
-20, -3.176
-21, -3.428
-22, -3.707
-22, -3.896
-21, -4.071
-20, -4.155
-19, -4.204
-18, -4.253
-17, -4.246
-16, -4.106
-15, -4.015
-14, -3.805
-13, -3.603
-12, -3.288
-11, -3.134
-10, -2.875
-9, -2.679
-8, -2.413
-7, -2.133
-6, -2.021
-5, -1.735
-4, -1.595
-3, -1.154
-2, -0.958
-1, -0.783
0, -0.518
0, -0.343
1, -0.224
2, -0.133
3, 0.056
4, 0.294
5, 0.455
6, 0.671
7, 0.951
8, 1.168
9, 1.392
10, 1.518
11, 1.748
12, 1.867
13, 2.105
14, 2.413
15, 2.665
16, 2.917
17, 3.281
18, 3.372
19, 3.609
20, 3.791
21, 3.959
22, 4.253
22, 4.323
21, 4.568
20, 4.659
19, 4.652
18, 4.617
17, 4.603
16, 4.554
15, 4.596
14, 4.512
13, 4.449
12, 4.344
11, 4.092
10, 3.742
9, 3.490
8, 3.211
7, 2.959
6, 2.714
5, 2.602
4, 2.329
3, 1.993
2, 1.777
1, 1.441
0, 1.231
-1, 1.147
-2, 0.895
-3, 0.686
-4, 0.427
-5, 0.301
-6, -0.021
-7, -0.251
-8, -0.517
-9, -0.839
-10, -1.182
-11, -1.371
-12, -1.482
-13, -1.748
-14, -1.951
-15, -2.140
-16, -2.469
-17, -2.692
-18, -2.895
-19, -3.077
-20, -3.329
-21, -3.609
-22, -3.840
-22, -4.001
-21, -4.127
-20, -4.190
-19, -4.162
-18, -4.113
-17, -4.169
-16, -4.050
-15, -3.952
-14, -3.777
-13, -3.532
-12, -3.315
-11, -3.098
-10, -2.937
-9, -2.629
-8, -2.391
-7, -2.097
-6, -1.923
-5, -1.664
-4, -1.538
-3, -1.167
-2, -0.958
-1, -0.727
0, -0.517
0, -0.307
1, -0.118
2, -0.055
3, 0.175
4, 0.252
5, 0.448
6, 0.826
7, 0.993
8, 1.168
9, 1.350
10, 1.616
11, 1.812
12, 2.063
13, 2.273
14, 2.469
15, 2.651
16, 3.022
17, 3.197
18, 3.372
19, 3.645
20, 3.771
21, 4.050
22, 4.225
22, 4.344
21, 4.617
20, 4.652
19, 4.715
18, 4.757
17, 4.722
16, 4.617
15, 4.638
14, 4.575
13, 4.456
12, 4.400
11, 4.113
10, 3.910
9, 3.651
8, 3.302
7, 3.036
6, 2.770
5, 2.553
4, 2.246
3, 2.092
2, 1.882
1, 1.399
0, 1.308
-1, 1.140
-2, 0.931
-3, 0.721
-4, 0.455
-5, 0.175
-6, -0.041
-7, -0.356
-8, -0.552
-9, -0.720
-10, -0.895
-11, -1.223
-12, -1.384
-13, -1.692
-14, -1.818
-15, -1.965
-16, -2.371
-17, -2.573
-18, -2.699
-19, -2.986
-20, -3.196
-21, -3.518
-22, -3.700
-22, -3.966
-21, -4.141
-20, -4.260
-19, -4.260
-18, -4.246
-17, -4.239
-16, -4.036
-15, -3.952
-14, -3.777
-13, -3.469
-12, -3.210
-11, -2.930
-10, -2.797
-9, -2.623
-8, -2.371
-7, -2.126
-6, -1.986
-5, -1.762
-4, -1.657
-3, -1.217
-2, -0.951
-1, -0.706
0, -0.419
0, -0.244
1, 0.021
2, 0.021
3, 0.196
4, 0.329
5, 0.602
6, 0.938
7, 1.029
8, 1.161
9, 1.357
10, 1.623
11, 1.903
12, 2.078
13, 2.288
14, 2.399
15, 2.728
16, 2.994
17, 3.162
18, 3.288
19, 3.603
20, 3.778
21, 4.065
22, 4.275
22, 4.415
21, 4.617
20, 4.660
19, 4.652
18, 4.666
17, 4.645
16, 4.575
15, 4.547
14, 4.561
13, 4.512
12, 4.358
11, 4.092
10, 3.742
9, 3.533
8, 3.267
7, 2.980
6, 2.735
5, 2.623
4, 2.336
3, 2.098
2, 1.819
1, 1.574
0, 1.266
-1, 1.098
-2, 0.881
-3, 0.679
-4, 0.427
-5, 0.252
-6, -0.084
-7, -0.343
-8, -0.601
-9, -0.902
-10, -1.091
-11, -1.322
-12, -1.602
-13, -1.833
-14, -2.063
-15, -2.063
-16, -2.315
-17, -2.637
-18, -2.903
-19, -3.043
-20, -3.162
-21, -3.379
-22, -3.749
-22, -3.875
-21, -4.176
-20, -4.155
-19, -4.169
-18, -4.183
-17, -4.218
-16, -4.162
-15, -3.973
-14, -3.770
-13, -3.421
-12, -3.127
-11, -2.938
-10, -2.784
-9, -2.630
-8, -2.427
-7, -2.182
-6, -2.021
-5, -1.748
-4, -1.658
-3, -1.238
-2, -1.014
-1, -0.658
0, -0.504
0, -0.287
1, 0.014
2, 0.028
3, 0.175
4, 0.343
5, 0.483
6, 0.888
7, 1.077
8, 1.273
9, 1.462
10, 1.735
11, 1.896
12, 2.021
13, 2.238
14, 2.448
15, 2.721
16, 3.099
17, 3.169
18, 3.427
19, 3.596
20, 3.735
21, 4.092
22, 4.358
22, 4.470
21, 4.736
20, 4.750
19, 4.757
18, 4.729
17, 4.715
16, 4.757
15, 4.610
14, 4.442
13, 4.421
12, 4.274
11, 4.015
10, 3.665
9, 3.483
8, 3.281
7, 2.931
6, 2.763
5, 2.483
4, 2.133
3, 1.965
2, 1.749
1, 1.406
0, 1.133
-1, 0.916
-2, 0.630
-3, 0.595
-4, 0.301
-5, 0.063
-6, -0.196
-7, -0.259
-8, -0.483
-9, -0.860
-10, -1.091
-11, -1.294
-12, -1.476
-13, -1.658
-14, -1.777
-15, -1.993
-16, -2.371
-17, -2.616
-18, -2.826
-19, -3.043
-20, -3.246
-21, -3.519
-22, -3.735
-22, -4.015
-21, -4.240
-20, -4.261
-19, -4.268
-18, -4.274
-17, -4.295
-16, -4.134
-15, -4.008
-14, -3.791
-13, -3.539
-12, -3.260
-11, -3.043
-10, -2.847
-9, -2.700
-8, -2.448
-7, -2.259
-6, -2.008
-5, -1.777
-4, -1.609
-3, -1.168
-2, -1.035
-1, -0.721
0, -0.469
0, -0.245
1, 0.077
2, 0.070
3, 0.209
4, 0.342
5, 0.587
6, 0.874
7, 1.105
8, 1.266
9, 1.475
10, 1.727
11, 1.776
12, 1.937
13, 2.259
14, 2.455
15, 2.734
16, 3.028
17, 3.203
18, 3.385
19, 3.532
20, 3.784
21, 4.064
22, 4.267
22, 4.512
21, 4.701
20, 4.784
19, 4.834
18, 4.806
17, 4.764
16, 4.694
15, 4.637
14, 4.477
13, 4.379
12, 4.316
11, 4.001
10, 3.686
9, 3.511
8, 3.259
7, 2.874
6, 2.685
5, 2.476
4, 2.280
3, 1.958
2, 1.853
1, 1.580
0, 1.364
-1, 1.007
-2, 0.888
-3, 0.559
-4, 0.280
-5, 0.014
-6, -0.168
-7, -0.385
-8, -0.581
-9, -0.965
-10, -1.126
-11, -1.469
-12, -1.637
-13, -1.874
-14, -1.993
-15, -1.979
-16, -2.294
-17, -2.651
-18, -2.805
-19, -2.980
-20, -3.169
-21, -3.547
-22, -3.792
-22, -4.058
-21, -4.260
-20, -4.302
-19, -4.295
-18, -4.267
-17, -4.239
-16, -4.127
-15, -3.938
-14, -3.714
-13, -3.491
-12, -3.211
-11, -2.966
-10, -2.770
-9, -2.602
-8, -2.287
-7, -2.077
-6, -1.979
-5, -1.735
-4, -1.616
-3, -1.147
-2, -0.916
-1, -0.595
0, -0.434
0, -0.189
1, -0.007
2, -0.014
3, 0.175
4, 0.427
5, 0.629
6, 1.042
7, 1.210
8, 1.322
9, 1.517
10, 1.720
11, 1.846
12, 2.021
13, 2.343
14, 2.574
15, 2.812
16, 3.189
17, 3.329
18, 3.490
19, 3.686
20, 3.896
21, 4.197
22, 4.442
22, 4.540
21, 4.827
20, 4.876
19, 4.897
18, 4.890
17, 4.855
16, 4.813
15, 4.806
14, 4.659
13, 4.435
12, 4.351
11, 3.973
10, 3.658
9, 3.469
8, 3.161
7, 2.896
6, 2.748
5, 2.504
4, 2.196
3, 1.972
2, 1.699
1, 1.363
0, 1.307
-1, 1.217
-2, 0.804
-3, 0.601
-4, 0.370
-5, 0.153
-6, -0.049
-7, -0.259
-8, -0.560
-9, -1.022
-10, -1.259
-11, -1.455
-12, -1.616
-13, -1.784
-14, -1.924
-15, -2.085
-16, -2.350
-17, -2.679
-18, -2.896
-19, -3.036
-20, -3.239
-21, -3.582
-22, -3.848
-22, -4.078
-21, -4.127
-20, -4.261
-19, -4.254
-18, -4.260
-17, -4.239
-16, -4.106
-15, -3.987
-14, -3.750
-13, -3.526
-12, -3.288
-11, -3.064
-10, -2.868
-9, -2.672
-8, -2.308
-7, -2.119
-6, -2.014
-5, -1.784
-4, -1.672
-3, -1.217
-2, -1.014
-1, -0.790
0, -0.455
0, -0.280
1, -0.105
2, -0.035
3, 0.224
4, 0.378
5, 0.623
6, 0.979
7, 1.021
8, 1.224
9, 1.490
10, 1.735
11, 1.951
12, 2.133
13, 2.364
14, 2.525
15, 2.868
16, 3.190
17, 3.295
18, 3.469
19, 3.756
20, 3.861
21, 4.127
22, 4.323
22, 4.505
21, 4.764
20, 4.834
19, 4.841
18, 4.848
17, 4.806
16, 4.764
15, 4.743
14, 4.582
13, 4.470
12, 4.323
11, 4.023
10, 3.715
9, 3.421
8, 3.218
7, 2.819
6, 2.553
5, 2.294
4, 2.134
3, 1.875
2, 1.672
1, 1.406
0, 1.210
-1, 1.070
-2, 0.707
-3, 0.553
-4, 0.525
-5, 0.392
-6, 0.133
-7, -0.133
-8, -0.398
-9, -0.678
-10, -0.867
-11, -1.280
-12, -1.469
-13, -1.629
-14, -1.748
-15, -1.993
-16, -2.301
-17, -2.574
-18, -2.770
-19, -3.106
-20, -3.337
-21, -3.623
-22, -3.707
-22, -3.896
-21, -4.092
-20, -4.162
-19, -4.239
-18, -4.281
-17, -4.253
-16, -4.204
-15, -3.980
-14, -3.686
-13, -3.483
-12, -3.232
-11, -2.966
-10, -2.777
-9, -2.567
-8, -2.287
-7, -2.084
-6, -1.986
-5, -1.693
-4, -1.567
-3, -1.154
-2, -0.923
-1, -0.699
0, -0.532
0, -0.259
1, -0.077
2, 0.014
3, 0.217
4, 0.378
5, 0.532
6, 0.902
7, 1.063
8, 1.147
9, 1.392
10, 1.644
11, 1.868
12, 2.154
13, 2.364
14, 2.609
15, 2.847
16, 3.134
17, 3.246
18, 3.518
19, 3.714
20, 3.945
21, 4.246
22, 4.400
22, 4.589
21, 4.897
20, 4.890
19, 4.883
18, 4.869
17, 4.834
16, 4.764
15, 4.785
14, 4.666
13, 4.491
12, 4.386
11, 4.022
10, 3.749
9, 3.518
8, 3.309
7, 2.987
6, 2.735
5, 2.525
4, 2.392
3, 2.098
2, 1.833
1, 1.560
0, 1.413
-1, 1.133
-2, 0.797
-3, 0.546
-4, 0.273
-5, 0.077
-6, -0.105
-7, -0.245
-8, -0.601
-9, -0.909
-10, -1.105
-11, -1.238
-12, -1.511
-13, -1.672
-14, -1.951
-15, -2.238
-16, -2.595
-17, -2.763
-18, -2.875
-19, -3.001
-20, -3.260
-21, -3.658
-22, -3.827
-22, -3.987
-21, -4.141
-20, -4.225
-19, -4.204
-18, -4.211
-17, -4.162
-16, -4.064
-15, -3.910
-14, -3.679
-13, -3.421
-12, -3.141
-11, -2.910
-10, -2.784
-9, -2.602
-8, -2.217
-7, -2.182
-6, -1.993
-5, -1.770
-4, -1.602
-3, -1.147
-2, -0.937
-1, -0.623
0, -0.385
0, -0.259
1, -0.070
2, 0.042
3, 0.266
4, 0.441
5, 0.615
6, 0.958
7, 1.161
8, 1.322
9, 1.518
10, 1.720
11, 1.965
12, 2.217
13, 2.364
14, 2.448
15, 2.790
16, 3.119
17, 3.294
18, 3.497
19, 3.742
20, 3.931
21, 4.197
22, 4.414
22, 4.491
21, 4.764
20, 4.883
19, 4.904
18, 4.890
17, 4.841
16, 4.722
15, 4.694
14, 4.582
13, 4.393
12, 4.232
11, 3.896
10, 3.756
9, 3.532
8, 3.224
7, 2.923
6, 2.714
5, 2.595
4, 2.343
3, 2.182
2, 1.720
1, 1.538
0, 1.196
-1, 0.874
-2, 0.580
-3, 0.433
-4, 0.252
-5, 0.049
-6, -0.126
-7, -0.182
-8, -0.483
-9, -0.860
-10, -1.084
-11, -1.259
-12, -1.448
-13, -1.721
-14, -1.868
-15, -2.168
-16, -2.448
-17, -2.637
-18, -2.819
-19, -3.085
-20, -3.288
-21, -3.428
-22, -3.540
-22, -3.938
-21, -4.239
-20, -4.261
-19, -4.218
-18, -4.275
-17, -4.239
-16, -4.141
-15, -3.988
-14, -3.665
-13, -3.428
-12, -3.218
-11, -2.903
-10, -2.756
-9, -2.574
-8, -2.211
-7, -2.106
-6, -1.875
-5, -1.770
-4, -1.686
-3, -1.154
-2, -0.867
-1, -0.616
0, -0.392
0, -0.182
1, 0.007
2, -0.014
3, 0.147
4, 0.399
5, 0.546
6, 0.825
7, 1.154
8, 1.378
9, 1.518
10, 1.651
11, 1.881
12, 2.182
13, 2.350
14, 2.630
15, 2.910
16, 3.168
17, 3.266
18, 3.483
19, 3.700
20, 3.994
21, 4.197
22, 4.421
22, 4.610
21, 4.932
20, 4.974
19, 4.911
18, 4.862
17, 4.750
16, 4.757
15, 4.722
14, 4.596
13, 4.456
12, 4.428
11, 4.008
10, 3.721
9, 3.540
8, 3.211
7, 2.889
6, 2.735
5, 2.749
4, 2.336
3, 2.071
2, 1.826
1, 1.476
0, 1.210
-1, 0.868
-2, 0.602
-3, 0.560
-4, 0.245
-5, 0.028
-6, -0.209
-7, -0.538
-8, -0.741
-9, -0.888
-10, -1.196
-11, -1.294
-12, -1.545
-13, -1.797
-14, -2.112
-15, -2.364
-16, -2.553
-17, -2.763
-18, -2.847
-19, -3.070
-20, -3.245
-21, -3.595
-22, -3.798
-22, -3.917
-21, -4.085
-20, -4.155
-19, -4.225
-18, -4.253
-17, -4.232
-16, -4.148
-15, -4.008
-14, -3.700
-13, -3.428
-12, -3.134
-11, -2.938
-10, -2.756
-9, -2.595
-8, -2.217
-7, -2.126
-6, -1.854
-5, -1.665
-4, -1.469
-3, -1.028
-2, -0.832
-1, -0.560
0, -0.371
0, -0.189
1, -0.014
2, -0.028
3, 0.175
4, 0.336
5, 0.504
6, 0.881
7, 1.056
8, 1.273
9, 1.441
10, 1.644
11, 2.007
12, 2.238
13, 2.462
14, 2.560
15, 2.896
16, 3.190
17, 3.337
18, 3.596
19, 3.777
20, 3.952
21, 4.113
22, 4.309
22, 4.547
21, 4.904
20, 4.869
19, 4.876
18, 4.890
17, 4.806
16, 4.806
15, 4.806
14, 4.680
13, 4.484
12, 4.253
11, 4.037
10, 3.714
9, 3.427
8, 3.197
7, 2.938
6, 2.707
5, 2.497
4, 2.203
3, 1.930
2, 1.805
1, 1.567
0, 1.273
-1, 0.965
-2, 0.720
-3, 0.532
-4, 0.350
-5, 0.154
-6, -0.168
-7, -0.273
-8, -0.553
-9, -0.895
-10, -1.070
-11, -1.259
-12, -1.483
-13, -1.658
-14, -1.944
-15, -2.161
-16, -2.490
-17, -2.770
-18, -3.057
-19, -3.190
-20, -3.337
-21, -3.491
-22, -3.679
-22, -3.834
-21, -4.120
-20, -4.225
-19, -4.267
-18, -4.281
-17, -4.211
-16, -4.057
-15, -3.917
-14, -3.617
-13, -3.365
-12, -3.169
-11, -2.889
-10, -2.805
-9, -2.602
-8, -2.189
-7, -2.056
-6, -1.993
-5, -1.770
-4, -1.567
-3, -1.070
-2, -0.819
-1, -0.553
0, -0.399
0, -0.133
1, 0.049
2, 0.077
3, 0.265
4, 0.384
5, 0.594
6, 0.937
7, 1.105
8, 1.301
9, 1.475
10, 1.748
11, 1.909
12, 2.119
13, 2.357
14, 2.595
15, 2.783
16, 3.168
17, 3.259
18, 3.455
19, 3.672
20, 3.952
21, 4.190
22, 4.421
22, 4.624
21, 4.834
20, 4.813
19, 4.806
18, 4.792
17, 4.729
16, 4.701
15, 4.582
14, 4.519
13, 4.505
12, 4.379
11, 3.889
10, 3.455
9, 3.343
8, 3.133
7, 2.832
6, 2.616
5, 2.476
4, 2.280
3, 1.958
2, 1.713
1, 1.398
0, 1.210
-1, 0.895
-2, 0.671
-3, 0.636
-4, 0.496
-5, 0.140
-6, -0.175
-7, -0.252
-8, -0.608
-9, -0.923
-10, -1.147
-11, -1.357
-12, -1.595
-13, -1.826
-14, -1.986
-15, -2.259
-16, -2.420
-17, -2.693
-18, -2.847
-19, -3.106
-20, -3.211
-21, -3.589
-22, -3.819
-22, -3.980
-21, -4.232
-20, -4.323
-19, -4.309
-18, -4.232
-17, -4.169
-16, -4.141
-15, -3.987
-14, -3.652
-13, -3.498
-12, -3.218
-11, -3.008
-10, -2.805
-9, -2.665
-8, -2.259
-7, -2.014
-6, -1.972
-5, -1.686
-4, -1.455
-3, -1.084
-2, -0.881
-1, -0.602
0, -0.420
0, -0.217
1, -0.042
2, 0.007
3, 0.196
4, 0.384
5, 0.573
6, 0.923
7, 1.182
8, 1.392
9, 1.538
10, 1.678
11, 1.972
12, 2.126
13, 2.336
14, 2.441
15, 2.854
16, 3.294
17, 3.378
18, 3.518
19, 3.777
20, 3.889
21, 4.106
22, 4.253
22, 4.512
21, 4.834
20, 4.855
19, 4.848
18, 4.869
17, 4.806
16, 4.792
15, 4.785
14, 4.638
13, 4.449
12, 4.246
11, 3.959
10, 3.700
9, 3.546
8, 3.169
7, 2.840
6, 2.728
5, 2.574
4, 2.385
3, 1.937
2, 1.693
1, 1.511
0, 1.217
-1, 0.888
-2, 0.679
-3, 0.651
-4, 0.252
-5, 0.133
-6, -0.063
-7, -0.259
-8, -0.587
-9, -0.895
-10, -1.063
-11, -1.301
-12, -1.665
-13, -1.888
-14, -2.042
-15, -2.126
-16, -2.371
-17, -2.553
-18, -2.763
-19, -3.022
-20, -3.252
-21, -3.497
-22, -3.749
-22, -4.050
