"report-def-0-rfile"
"Iteration" "drag"
("Iteration" "drag")
815 41.69281432845899
816 41.76384934164518
817 41.76990595445971
818 41.76989963037771
819 41.75531351251583
820 41.73992957860127
821 41.72228048532448
822 41.7049855152993
823 41.68773365645929
824 41.6693436231435
825 41.65029967062523
826 41.63748687605842
827 41.63601668290377
828 41.63802483758272
829 41.63581369800873
830 41.62957420282954
831 41.62568351011441
832 41.62600942930835
833 41.62800519544014
834 41.63016331820793
835 41.63662186239028
836 41.64915799235408
837 41.66431717203803
838 41.67834941346054
839 41.69236643672738
840 41.70868936551636
841 41.72846600170123
842 41.74790623812279
843 41.76425258216842
844 41.7776623578135
845 41.79274454322252
846 41.80816805608477
847 41.81936739085981
848 41.82274815056122
849 41.82196682320772
850 41.82460572912291
851 41.83106849438911
852 41.83356829211711
853 41.8297490417023
854 41.82383683823348
855 41.82411877042215
856 41.82828101550083
857 41.82544074910289
858 41.81157104213602
859 41.79806740798547
860 41.79469560032308
861 41.79586686686114
862 41.78903069290615
863 41.77258464560633
864 41.76193883245605
865 41.76597945186471
866 41.77090700028159
867 41.76204796293086
868 41.74387596927581
869 41.73732260027754
870 41.74508646594106
