"report-def-0-rfile"
"Iteration" "report-def-0"
("Iteration" "report-def-0")
1 3.839062369180262
2 4.730669097962255
3 4.30002336145425
4 3.883887447995211
5 3.564398636538642
6 3.358065294707984
7 3.252035517974464
8 3.220747976882075
9 3.230055100380772
10 3.254852693018755
11 3.278393191383673
12 3.295330219584978
13 3.303671459189427
14 3.305552378916714
15 3.299245733318734
16 3.28581079028978
17 3.268132736708454
18 3.249000211576403
19 3.2315920051544
20 3.217891536722759
21 3.20810702903804
22 3.201955636183869
23 3.199391161495058
24 3.198774379346415
25 3.198484978777742
26 3.196579980536774
27 3.192754814208298
28 3.186890142389565
29 3.178861267610607
30 3.168762140520639
31 3.157442457752345
32 3.145962645312898
33 3.134698521119442
34 3.124685622969961
35 3.116431077401606
36 3.110440748875444
37 3.10682315143521
38 3.105393264738917
39 3.10586780308612
40 3.108017375485934
41 3.111426531878539
42 3.115728284158194
43 3.120671623927707
44 3.126036285746165
45 3.131471105254612
46 3.136758111162845
47 3.141654347984538
48 3.146049611233511
49 3.149937771368274
50 3.153115498206136
51 3.155577683190167
52 3.157372980962096
53 3.158511161484498
54 3.159029209947055
55 3.159085592771009
56 3.15864375698213
57 3.15784607364381
58 3.156856392449852
59 3.155703160179044
60 3.154413746856779
61 3.153132168744582
62 3.151927017321624
63 3.150866458615327
64 3.149972299096171
65 3.149161841819196
66 3.148473213010079
67 3.147927405553552
68 3.147464882843728
69 3.147048557005778
70 3.146676715155562
71 3.146317222388801
72 3.146006327335029
73 3.145777862453734
74 3.145568486887537
75 3.145316031103127
76 3.145081318497159
77 3.144865254106612
78 3.14468380427296
79 3.144556117646237
80 3.144389011305682
81 3.144178035105626
82 3.144040557276747
83 3.143946004238376
84 3.143851754520892
85 3.143751954090276
