"report-def-1-rfile"
"Iteration" "report-def-1"
("Iteration" "report-def-1")
1 0.4663724480100822
2 0.8423371329283644
3 1.178298669295104
4 1.4907782054774
5 1.791521463948018
6 2.073505110958742
7 2.348742737902126
8 2.596025420260653
9 2.802959739945599
10 2.960823425538872
11 3.069436745821192
12 3.12966652825058
13 3.142912210268153
14 3.111347702409874
15 3.046117336471347
16 2.960349499794132
17 2.865679199988064
18 2.774043476489105
19 2.695077242472877
20 2.633265787205661
21 2.590329076543004
22 2.565664035950253
23 2.554837710205769
24 2.553608070235969
25 2.557927519049196
26 2.565336380755712
27 2.572995793769892
28 2.578890928024738
29 2.58236087921171
30 2.583629492927733
31 2.583636410476961
32 2.583629786332934
33 2.584741415526485
34 2.587727629766831
35 2.592710479889637
36 2.59948454907063
37 2.607434752678259
38 2.615990186596514
39 2.624512275462152
40 2.632253957577601
41 2.638834847339512
42 2.643899116499496
43 2.64733452771713
44 2.649125916159736
45 2.649335169413002
46 2.648152186568039
47 2.645906553745307
48 2.642944987005319
49 2.639605530638656
50 2.636121763979062
51 2.632703978382094
52 2.629518112349154
53 2.626694401338462
54 2.624397047875989
55 2.622619809248607
56 2.621449490913133
57 2.620915372078625
58 2.62094788465585
59 2.621494960528007
60 2.622463743589456
61 2.623696618370413
62 2.625058442213928
63 2.626432637233069
64 2.627684284034783
65 2.628755395823298
66 2.62960288101991
67 2.630094786916706
68 2.630266888262172
69 2.630174864075889
70 2.629835794341099
71 2.629350101076839
72 2.62880578378785
73 2.628232288251908
74 2.62772680220193
75 2.627346675087092
76 2.627067356256287
77 2.626909481218165
78 2.62687752215511
79 2.62690309088396
80 2.627011826279886
81 2.627222490047949
82 2.627443755882272
83 2.627675890616947
84 2.627927394945622
85 2.628159019544057
