"aero-moment-rfile"
"Iteration" "aero-moment"
("Iteration" "aero-moment")
1 -1.264480789473622
2 -1.740479667271868
3 -1.969255703117579
4 -1.93329027471373
5 -1.800141239942153
6 -1.681703547809688
7 -1.627641936642152
8 -1.670356292008955
9 -1.798968062002464
10 -1.994432026650093
11 -2.222061127405119
12 -2.448566419381482
13 -2.651980034022051
14 -2.824743814377001
15 -2.965070976426
16 -3.080684148731195
17 -3.176473596583202
18 -3.254720865808701
19 -3.31455273384443
20 -3.356792079833913
21 -3.382083883065815
22 -3.391691210235097
23 -3.388003492710082
24 -3.374700888993027
25 -3.357369565665523
26 -3.338558512132748
27 -3.320237107597209
28 -3.303824251109516
29 -3.290688480190317
30 -3.280040070255272
31 -3.270593196599828
32 -3.260312044832256
33 -3.247749469826227
34 -3.233226830807892
35 -3.218066012678388
36 -3.205166376063944
37 -3.197558699384599
38 -3.196064538610085
39 -3.199270776150123
40 -3.204834688110308
41 -3.209336140294867
42 -3.210390318476925
43 -3.207514983447763
44 -3.201575860401449
45 -3.194754737454632
46 -3.189298183853065
47 -3.186620502056131
48 -3.187070471283186
49 -3.189988899301284
50 -3.193997788499108
51 -3.197247650920976
52 -3.19855053494396
53 -3.197611661745521
54 -3.194985713365881
55 -3.191515883805172
56 -3.18837037319228
57 -3.186186654790013
58 -3.185255799729428
59 -3.185274134350283
60 -3.18565578648825
61 -3.186043228793996
62 -3.185824382682423
63 -3.185050600444565
64 -3.183824919806484
65 -3.182261426098294
66 -3.181105578273166
67 -3.180865858909143
68 -3.181343791154088
69 -3.182286166038329
70 -3.183096423325294
71 -3.183424447053032
72 -3.18276020915187
73 -3.181458169469266
74 -3.179838362358515
75 -3.178115326822708
76 -3.176666864929038
77 -3.175607528562018
78 -3.175340075055938
79 -3.175810172243042
80 -3.177118620097042
81 -3.179073581086029
82 -3.180793929100146
83 -3.18140431084215
84 -3.18075416062232
85 -3.179001966781113
86 -3.176770660072651
87 -3.174891393182956
88 -3.173730966384447
89 -3.17358647368356
90 -3.174232106778857
91 -3.175222451411079
92 -3.176268229755245
93 -3.177303238547399
94 -3.177970128729161
95 -3.178037286199602
96 -3.177350018179431
97 -3.176238698200926
98 -3.175059291614677
99 -3.174000797774111
100 -3.17316163051624
101 -3.172747519965448
102 -3.172928423473217
103 -3.173771458890299
104 -3.175004491589397
105 -3.176320274831024
