"normal-force-rfile"
"Iteration" "normal-force"
("Iteration" "normal-force")
1 0.02026531778606947
2 0.02412247781420909
3 0.01573675072678907
4 0.003023700522586482
5 -0.01201136403116231
6 -0.02413295186507411
7 -0.03518080045931317
8 -0.04579070356898773
9 -0.05637359622513709
10 -0.06746797757589623
11 -0.07874664870233238
12 -0.08984273347027683
13 -0.1003830071298025
14 -0.1103482704966061
15 -0.1198822551889883
16 -0.1292631822103753
17 -0.1384873235057341
18 -0.1475127961661137
19 -0.1561311180240462
20 -0.164075830684999
21 -0.1710876552993952
22 -0.1768463630902914
23 -0.1812080343094315
24 -0.1839459919263614
25 -0.184899330111334
26 -0.1840104322483567
27 -0.1812116621022165
28 -0.1767036850177651
29 -0.170713520952282
30 -0.1635158664266603
31 -0.1553251791587539
32 -0.1463583777904613
33 -0.1368463018171798
34 -0.1270364547550676
35 -0.1171163210300709
36 -0.1072843651471654
37 -0.09774164838068035
38 -0.0887406463633016
39 -0.08046283323414904
40 -0.07302504267672234
41 -0.06653173855703194
42 -0.06106326143440213
43 -0.05665593524773822
44 -0.05326845525168838
45 -0.05077785345145165
46 -0.04905405313783747
47 -0.04795835839044615
48 -0.04737437671711785
49 -0.04717315369572474
50 -0.04725311185369271
51 -0.04753940419495246
52 -0.04797014178652842
53 -0.04849815040069436
54 -0.0490878584774071
55 -0.04972135596040689
56 -0.05038269277554204
57 -0.05105941063104208
58 -0.05173922224343303
59 -0.05241236415591341
60 -0.05306452062268507
61 -0.05367975842841936
62 -0.05424929972791025
63 -0.05476525424486291
64 -0.05521902021479581
65 -0.05560208054297719
66 -0.05591484767677966
67 -0.05615214697079485
68 -0.05631423595638874
69 -0.05640154397582348
70 -0.05641859475824405
71 -0.05637153952026927
72 -0.05626586965742821
