"lift-rfile"
"Iteration" "lift"
("Iteration" "lift")
1 0.02198065190495332
2 0.02823316243358528
3 0.02208575780453306
4 0.01911474146570785
5 0.01503039077530045
6 0.01260746455691693
7 0.01143268076442649
8 0.0115598807555032
9 0.01259580131517867
10 0.01439841802170976
11 0.01717623809417522
12 0.02131759389150916
13 0.02648202778063707
14 0.03239011103669639
15 0.03890893013253986
16 0.04562623529698114
17 0.05226765544093703
18 0.05868251623107246
19 0.06471904623134424
20 0.07031989294567512
21 0.07542374285659485
22 0.07991812108392676
23 0.08370006633333898
24 0.08667836185966103
25 0.08870532563224788
26 0.08967666180011855
27 0.08950664750451084
28 0.08813918214220701
29 0.08551559094912962
30 0.08166166966677861
31 0.0767067810781001
32 0.0707724898758484
33 0.06398180186089353
34 0.05643868918853909
35 0.04839739524453403
36 0.04014359953251688
37 0.03185983163013493
38 0.02376232042412724
39 0.0160885654700401
40 0.00907572151881943
41 0.002872346302728558
42 -0.002381275967779465
43 -0.006629338994267766
44 -0.009802207393446819
45 -0.01187446325656808
46 -0.01289730932349979
47 -0.01295516850335343
48 -0.01218803096315296
49 -0.01072988687773964
50 -0.00872079784612608
51 -0.006289426254637594
52 -0.00356035522957336
53 -0.0006358571579333436
54 0.002396628933836171
55 0.005456890612766658
56 0.008489169283112944
57 0.01144071541415311
58 0.01427339044427613
59 0.01695432152068809
60 0.01946551761270857
61 0.02179625328566346
62 0.02393238332988615
63 0.02586471374308099
64 0.02759071603690498
65 0.02911552052633194
66 0.03043063778976132
67 0.03153358267497011
68 0.03243153592485218
69 0.03313473153594578
70 0.0336522766998754
71 0.03399384330470607
72 0.03416941382840498
